"","ticker","zero column","date","time","open","high","low","close","vol","second zero column"
"941011","ORANGEPL",0,20200921,162548,6.955,6.96,6.955,6.96,1780,0
"941012","ORANGEPL",0,20200921,162549,6.97,6.97,6.965,6.965,10835,0
"941013","ORANGEPL",0,20200921,162550,6.97,6.975,6.97,6.975,1422,0
"941014","ORANGEPL",0,20200921,162551,6.975,6.975,6.975,6.975,1366,0
"941015","ORANGEPL",0,20200921,162552,6.975,6.975,6.975,6.975,240,0
"941016","ORANGEPL",0,20200921,162804,6.98,6.98,6.98,6.98,2420,0
"941017","ORANGEPL",0,20200921,162805,6.98,6.98,6.98,6.98,283,0
"941018","ORANGEPL",0,20200921,162806,6.98,6.98,6.98,6.98,338,0
"941019","ORANGEPL",0,20200921,162821,6.98,6.98,6.98,6.98,2441,0
"941020","ORANGEPL",0,20200921,162822,6.98,6.98,6.98,6.98,437,0
"941021","ORANGEPL",0,20200921,162823,6.98,6.98,6.98,6.98,103,0
"941022","ORANGEPL",0,20200921,163238,6.975,6.975,6.965,6.965,952,0
"941023","ORANGEPL",0,20200921,163239,6.965,6.965,6.965,6.965,238,0
"941024","ORANGEPL",0,20200921,163244,6.955,6.955,6.955,6.955,691,0
"941025","ORANGEPL",0,20200921,163248,6.955,6.955,6.955,6.955,422,0
"941026","ORANGEPL",0,20200921,163249,6.955,6.955,6.955,6.955,1230,0
"941027","ORANGEPL",0,20200921,163424,6.95,6.95,6.95,6.95,1148,0
"941028","ORANGEPL",0,20200921,163813,6.95,6.95,6.95,6.95,844,0
"941029","ORANGEPL",0,20200921,163824,6.95,6.95,6.95,6.95,1368,0
"941030","ORANGEPL",0,20200921,163826,6.95,6.95,6.95,6.95,5710,0
"941031","ORANGEPL",0,20200921,163828,6.95,6.95,6.95,6.95,1084,0
"941032","ORANGEPL",0,20200921,163829,6.95,6.95,6.95,6.95,271,0
"941033","ORANGEPL",0,20200921,163844,6.95,6.95,6.95,6.95,100,0
"941034","ORANGEPL",0,20200921,163848,6.93,6.93,6.93,6.93,1198,0
"941035","ORANGEPL",0,20200921,163849,6.93,6.93,6.93,6.93,914,0
"941036","ORANGEPL",0,20200921,163910,6.93,6.93,6.93,6.93,619,0
"941037","ORANGEPL",0,20200921,163951,6.92,6.92,6.92,6.92,430,0
"941038","ORANGEPL",0,20200921,163952,6.92,6.92,6.92,6.92,2226,0
"941039","ORANGEPL",0,20200921,164156,6.93,6.93,6.93,6.93,13516,0
"941040","ORANGEPL",0,20200921,164157,6.93,6.93,6.93,6.93,189,0
"941041","ORANGEPL",0,20200921,164158,6.93,6.93,6.93,6.93,1375,0
"941042","ORANGEPL",0,20200921,164200,6.93,6.93,6.93,6.93,1637,0
"941043","ORANGEPL",0,20200921,164210,6.93,6.93,6.93,6.93,3604,0
"941044","ORANGEPL",0,20200921,164211,6.92,6.92,6.92,6.92,508,0
"941045","ORANGEPL",0,20200921,164252,6.92,6.92,6.92,6.92,1023,0
"941046","ORANGEPL",0,20200921,164311,6.93,6.93,6.93,6.93,200,0
"941047","ORANGEPL",0,20200921,164423,6.92,6.92,6.92,6.92,984,0
"941048","ORANGEPL",0,20200921,164446,6.92,6.92,6.92,6.92,652,0
"941049","ORANGEPL",0,20200921,164447,6.92,6.92,6.92,6.92,1113,0
"941050","ORANGEPL",0,20200921,164540,6.92,6.92,6.92,6.92,100,0
"941051","ORANGEPL",0,20200921,164638,6.92,6.92,6.915,6.915,2791,0
"941052","ORANGEPL",0,20200921,164641,6.905,6.905,6.905,6.905,1826,0
"941053","ORANGEPL",0,20200921,164710,6.9,6.9,6.9,6.9,455,0
"941054","ORANGEPL",0,20200921,164734,6.9,6.9,6.9,6.9,882,0
"941055","ORANGEPL",0,20200921,164737,6.9,6.9,6.9,6.9,316,0
"941056","ORANGEPL",0,20200921,164851,6.92,6.92,6.92,6.92,2503,0
"941057","ORANGEPL",0,20200921,164919,6.905,6.905,6.905,6.905,140,0
"941058","ORANGEPL",0,20200921,164925,6.905,6.905,6.905,6.905,9718,0
"941059","ORANGEPL",0,20200921,164931,6.925,6.925,6.925,6.925,1486,0
"941060","ORANGEPL",0,20200921,170001,6.9,6.9,6.9,6.9,190551,0
"941061","ORANGEPL",0,20200921,170051,6.9,6.9,6.9,6.9,1243,0
"941062","ORANGEPL",0,20200921,170136,6.9,6.9,6.9,6.9,557,0
"941063","ORANGEPL",0,20200922,90001,7.01,7.01,7.01,7.01,2689,0
"941064","ORANGEPL",0,20200922,90002,7.01,7.01,7.01,7.01,3335,0
"941065","ORANGEPL",0,20200922,90004,7.01,7.01,7.01,7.01,946,0
"941066","ORANGEPL",0,20200922,90005,7.01,7.055,7.01,7.055,5636,0
"941067","ORANGEPL",0,20200922,90008,7.06,7.06,7.06,7.06,3163,0
"941068","ORANGEPL",0,20200922,90010,7.065,7.065,7.065,7.065,6660,0
"941069","ORANGEPL",0,20200922,90011,7.065,7.065,7.065,7.065,326,0
"941070","ORANGEPL",0,20200922,90012,7.005,7.005,7.005,7.005,25,0
"941071","ORANGEPL",0,20200922,90129,7.03,7.03,7.03,7.03,3709,0
"941072","ORANGEPL",0,20200922,90131,7.03,7.03,7.03,7.03,203,0
"941073","ORANGEPL",0,20200922,90222,7.03,7.035,7.03,7.035,999,0
"941074","ORANGEPL",0,20200922,90225,7.035,7.035,7.035,7.035,13,0
"941075","ORANGEPL",0,20200922,90227,7.04,7.04,7.04,7.04,189,0
"941076","ORANGEPL",0,20200922,90256,7.04,7.04,7.04,7.04,695,0
"941077","ORANGEPL",0,20200922,90257,7.045,7.045,7.045,7.045,177,0
"941078","ORANGEPL",0,20200922,90258,7.045,7.05,7.045,7.05,897,0
"941079","ORANGEPL",0,20200922,90300,7.08,7.08,7.08,7.08,215,0
"941080","ORANGEPL",0,20200922,90305,7.08,7.08,7.08,7.08,324,0
"941081","ORANGEPL",0,20200922,90311,7.08,7.08,7.08,7.08,500,0
"941082","ORANGEPL",0,20200922,90313,7.08,7.08,7.08,7.08,207,0
"941083","ORANGEPL",0,20200922,90321,7.08,7.085,7.08,7.085,1000,0
"941084","ORANGEPL",0,20200922,90323,7.085,7.085,7.085,7.085,242,0
"941085","ORANGEPL",0,20200922,90326,7.07,7.07,7.07,7.07,583,0
